name,url,location,address,type,comp
Somersault® Position - Brand Ambassador,https://sfbay.craigslist.org/sfc/mar/5572071786.html,mission district,"",part-time,TBD
Somersault® Local Market Specialist,https://sfbay.craigslist.org/sfc/mar/5568938671.html,mission district,"",part-time,TBD
Somersault® Local Market Specialist,https://sfbay.craigslist.org/sfc/mar/5566663602.html,San Francisco,"",part-time,TBD
Sales and Marketing Coordinator at Dang Foods,https://sfbay.craigslist.org/eby/mar/5560813237.html,berkeley,"3254 Adeline Street, Suite 210",full-time,"$40k-$60k base pay based on experience, plus bonus potential"
